Order_Number,Customer_identifier,Order_Date,City,Region,State_Code,Country_Code,Cart_Discount_Amount,Order_Subtotal_Amount,Shipping_Method_Title,Currency,Currency_Symbol,Order_Shipping_Amount,Order_Refund_Amount,Order_Total_Amount,Order_Total_Tax_Amount,SKU,Item_#,Item_Name,Quantity_(- Refund),Item_Cost,Coupon_Code,Discount_Amount,Discount_Amount_Tax,Attribution,Website
7514,5,06/04/2025,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7688,5,06/05/2025,Taunton,South West,Somerset,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
1506,5,06/08/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1372,5,06/07/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1203,5,06/06/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1069,5,06/05/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
864,5,06/04/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
758,5,06/03/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
669,5,06/02/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
578,5,06/01/2024,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
508,5,06/12/2023,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
433,5,06/11/2023,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
359,5,06/10/2023,Taunton,South West,Somerset,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
5672,6,06/09/2024,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6159,6,06/10/2024,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
6391,6,06/11/2024,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
6600,6,06/12/2024,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Referral: M.facebook.com,Squarespace
6792,6,06/01/2025,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7079,6,06/02/2025,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7277,6,06/03/2025,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7513,6,06/04/2025,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7687,6,06/05/2025,Gravesend,South East,,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
1508,6,06/08/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1374,6,06/07/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1206,6,06/06/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1073,6,06/05/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
865,6,06/04/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
760,6,06/03/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
672,6,06/02/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
580,6,06/01/2024,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
511,6,06/12/2023,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
434,6,06/11/2023,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
360,6,06/10/2023,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
315,6,06/09/2023,Gravesend,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
218,6,17/06/2023,Gravesend,South East,England,GB,0,29.98,Shipping,GBP,£,3.99,0,33.97,4.99,,1,Two Months' Supply,1,29.98,,,,Unknown,Woocommerce
154,6,16/04/2023,Gravesend,South East,England,GB,3,29.98,Shipping,GBP,£,3.99,0,30.97,4.49,,1,Two Months' Supply,1,29.98,discount,3,0,Unknown,Woocommerce
7077,7,06/02/2025,Pontyclun,Wales,WALES,GB,0,20.83,Royal Mail First Class,GBP,£,3.99,0,28.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
7276,7,06/03/2025,Pontyclun,Wales,WALES,GB,0,20.83,Royal Mail First Class,GBP,£,3.99,0,28.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
7512,7,06/04/2025,Pontyclun,Wales,WALES,GB,0,20.83,Royal Mail First Class,GBP,£,3.99,0,28.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
7686,7,06/05/2025,Pontyclun,Wales,WALES,GB,0,20.83,Royal Mail First Class,GBP,£,3.99,0,28.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Direct,Squarespace
1007,8,26/04/2024,Chepstow,Wales,Wales,GB,9,35.98,Shipping,GBP,£,2.99,0,29.97,4.49,,1,8 Week Trial,1,35.98,discount,9,0,Unknown,Woocommerce
5677,8,05/09/2024,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
6156,8,06/10/2024,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6386,8,06/11/2024,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6594,8,06/12/2024,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Referral: Duckduckgo.com,Squarespace
6787,8,06/01/2025,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Referral: M.facebook.com,Squarespace
7076,8,06/02/2025,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7275,8,06/03/2025,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7510,8,06/04/2025,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7685,8,06/05/2025,Newport,Wales,Monmouthshire,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
1503,8,05/08/2024,Newport,Wales,Monmouthshire,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
1367,8,05/07/2024,Newport,Wales,Monmouthshire,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,2.5,,1,Monthly Subscription,1,14.99,,,,Unknown,Woocommerce
7684,9,06/05/2025,Bristol,South West,,GB,0,29.98,Royal Mail Second Class,GBP,£,2.99,0,38.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Organic: Google,Squarespace
6155,10,06/10/2024,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6385,10,06/11/2024,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6593,10,06/12/2024,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6786,10,06/01/2025,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7075,10,06/02/2025,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7274,10,06/03/2025,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7509,10,06/04/2025,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7683,10,06/05/2025,Wallingford,South East,England,GB,0,12.49,Shipping,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Web admin,Squarespace
1644,10,05/09/2024,Wallingford,South East,England,GB,0,14.99,Shipping,GBP,£,2.99,0,17.98,0,,1,Monthly Subscription,1,14.99,,,,Web admin,Woocommerce
1379,10,07/07/2024,Wallingford,South East,England,GB,0,35.98,Shipping,GBP,£,2.99,0,38.97,5.99,,1,Two Months' Supply,1,35.98,,,,Unknown,Woocommerce
862,10,05/04/2024,Wallingford,South East,England,GB,0,35.98,Shipping,GBP,£,2.99,0,38.97,5.99,,1,8 Week Trial,1,35.98,,,,Unknown,Woocommerce
6190,11,10/10/2024,Norwich,East of England,Norfolk,GB,4.166667,16.66,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ9497841,1,One Month's Supply,1,12.49,calm1,4.17,0.83,Unknown,Squarespace
6311,11,27/10/2024,Norwich,East of England,Norfolk,GB,0,29.98,Royal Mail Second Class,GBP,£,2.99,0,38.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Source: Trustpilot,Squarespace
7073,11,05/02/2025,Norwich,East of England,Norfolk,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7272,11,05/03/2025,Norwich,East of England,Norfolk,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7508,11,05/04/2025,Norwich,East of England,Norfolk,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7682,11,05/05/2025,Norwich,East of England,Norfolk,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7681,12,05/05/2025,Harrogate,Yorkshire and the Humber,,GB,0,29.98,Royal Mail Second Class,GBP,£,2.99,0,38.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Organic: Google,Squarespace
5678,13,04/09/2024,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
6149,13,05/10/2024,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Source: Customer_notification,Squarespace
6377,13,05/11/2024,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Web admin,Squarespace
6589,13,05/12/2024,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Web admin,Squarespace
6785,13,05/01/2025,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Web admin,Squarespace
7071,13,05/02/2025,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Direct,Squarespace
7270,13,05/03/2025,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
7507,13,05/04/2025,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Web admin,Squarespace
7680,13,05/05/2025,Monmouth,Wales,,GB,0,20.83,Royal Mail Second Class,GBP,£,2.99,0,27.98,4.16,SQ6831832,1,Ferrocalm Your Life,1,20.83,,,,Unknown,Squarespace
1501,13,04/08/2024,Monmouth,Wales,Wales,GB,0,24.99,Shipping,GBP,£,2.99,0,27.98,4.17,,1,Ferrocalm Your Life,1,24.99,,,,Unknown,Woocommerce
1201,13,05/06/2024,Monmouth,Wales,Wales,GB,9,35.98,Shipping,GBP,£,2.99,0,29.97,4.49,,1,8 Week Trial,1,35.98,discount,9,0,Unknown,Woocommerce
6145,14,04/10/2024,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
6374,14,04/11/2024,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6587,14,04/12/2024,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
6784,14,04/01/2025,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Referral: Lm.facebook.com,Squarespace
7070,14,04/02/2025,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7268,14,04/03/2025,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7505,14,04/04/2025,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7679,14,04/05/2025,Hailsham,South East,ENG,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
1518,14,08/08/2024,Hailsham,South East,ENG,GB,9,35.98,Shipping,GBP,£,3.99,0,30.97,4.49,,1,8 Week Trial,1,35.98,discount,9,0,Unknown,Woocommerce
6231,15,13/10/2024,Bangor,Wales,County Down,GB,4.166667,16.66,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ9497841,1,One Month's Supply,1,12.49,gutquiz25,4.17,0.83,Direct,Squarespace
6401,15,08/11/2024,Bangor,Wales,County Down,GB,0,29.98,Royal Mail Second Class,GBP,£,2.99,0,38.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Direct,Squarespace
7059,15,03/02/2025,Bangor,Wales,County Down,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Unknown,Squarespace
7262,15,03/03/2025,Bangor,Wales,County Down,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7503,15,03/04/2025,Bangor,Wales,County Down,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
7678,15,03/05/2025,Bangor,Wales,County Down,GB,0,12.49,Royal Mail Second Class,GBP,£,2.99,0,17.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Referral: Bing.com,Squarespace
6071,16,25/09/2024,Swanley,South East,Kent,GB,0,29.98,Royal Mail First Class,GBP,£,3.99,0,39.97,6,SQ3720870,1,8 Week Trial,1,29.98,,,,Unknown,Squarespace
6779,16,03/01/2025,"Swanley,",South East,Kent,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7057,16,03/02/2025,"Swanley,",South East,Kent,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Direct,Squarespace
7260,16,03/03/2025,"Swanley,",South East,Kent,GB,0,12.49,Royal Mail First Class,GBP,£,3.99,0,18.98,2.5,SQ7734740,1,Monthly Subscription,1,12.49,,,,Organic: Google,Squarespace
